ticker,RAY INDEX
field,PX_LAST
date,
2022-08-25,2435.169
2022-08-26,2353.499
2022-08-29,2336.969
2022-08-30,2310.688
2022-08-31,2293.211
2022-09-01,2294.628
2022-09-02,2271.657
2022-09-06,2261.173
2022-09-07,2304.257
2022-09-08,2321.408
2022-09-09,2359.498
2022-09-12,2384.912
2022-09-13,2283.089
2022-09-14,2291.008
2022-09-15,2266.465
2022-09-16,2245.916
2022-09-19,2261.719
2022-09-20,2234.466
2022-09-21,2196.868
2022-09-22,2172.787
2022-09-23,2133.672
2022-09-26,2109.754
2022-09-27,2107.463
2022-09-28,2152.448
2022-09-29,2106.338
2022-09-30,2077.61
2022-10-03,2131.626
2022-10-04,2200.896
2022-10-05,2195.42
2022-10-06,2174.702
2022-10-07,2112.595
2022-10-10,2095.717
2022-10-11,2082.674
2022-10-12,2076.34
2022-10-13,2127.598
2022-10-14,2076.07
2022-10-17,2133.152
2022-10-18,2158.492
2022-10-19,2139.781
2022-10-20,2122.518
2022-10-21,2171.389
2022-10-24,2194.267
2022-10-25,2234.355
2022-10-26,2220.061
2022-10-27,2208.837
2022-10-28,2260.964
2022-10-31,2245.809
2022-11-01,2238.864
2022-11-02,2179.963
2022-11-03,2158.275
2022-11-04,2184.802
2022-11-07,2204.562
2022-11-08,2215.997
2022-11-09,2167.941
2022-11-10,2292.303
2022-11-11,2315.321
2022-11-14,2292.617
2022-11-15,2315.689
2022-11-16,2292.095
2022-11-17,2282.408
2022-11-18,2292.955
2022-11-21,2282.827
2022-11-22,2313.616
2022-11-23,2327.152
2022-11-25,2327.547
2022-11-28,2290.329
2022-11-29,2287.848
2022-11-30,2358.447
2022-12-01,2357.296
2022-12-02,2355.497
2022-12-05,2309.195
2022-12-06,2275.349
2022-12-07,2270.778
2022-12-08,2288.414
2022-12-09,2270.644
2022-12-12,2303.36
2022-12-13,2320.611
2022-12-14,2307.107
2022-12-15,2248.949
2022-12-16,2224.524
2022-12-19,2202.207
2022-12-20,2205.989
2022-12-21,2239.258
2022-12-22,2207.012
2022-12-23,2219.317
2022-12-27,2209.788
2022-12-28,2182.395
2022-12-29,2222.725
2022-12-30,2217.145
2023-01-03,2207.554
2023-01-04,2226.327
2023-01-05,2199.844
2023-01-06,2249.27
2023-01-09,2249.252
2023-01-10,2266.724
2023-01-11,2296.754
2023-01-12,2307.778
2023-01-13,2317.657
2023-01-17,2314.02
2023-01-18,2278.393
2023-01-19,2259.691
2023-01-20,2303.269
2023-01-23,2331.844
2023-01-24,2328.667
2023-01-25,2328.924
2023-01-26,2354.17
2023-01-27,2361.858
2023-01-30,2330.291
2023-01-31,2367.614
2023-02-01,2394.892
2023-02-02,2432.313
2023-02-03,2406.103
2023-02-06,2388.866
2023-02-07,2418.615
2023-02-08,2391.329
2023-02-09,2368.286
2023-02-10,2372.028
2023-02-13,2399.29
2023-02-14,2400.37
2023-02-15,2411.468
2023-02-16,2378.999
2023-02-17,2371.75
2023-02-21,2321.614
2023-02-22,2320.185
2023-02-23,2332.047
2023-02-24,2307.531
2023-02-27,2314.395
2023-02-28,2308.396
2023-03-01,2299.067
2023-03-02,2315.474
2023-03-03,2352.546
2023-03-06,2349.313
2023-03-07,2314.734
2023-03-08,2317.559
2023-03-09,2271.169
2023-03-10,2232.519
2023-03-13,2225.418
2023-03-14,2262.714
2023-03-15,2244.044
2023-03-16,2282.99
2023-03-17,2254.191
2023-03-20,2274.401
2023-03-21,2306.781
2023-03-22,2265.507
2023-03-23,2270.198
2023-03-24,2282.699
2023-03-27,2288.943
2023-03-28,2285.918
2023-03-29,2318.453
2023-03-30,2330.525
2023-03-31,2366.27
2023-04-03,2372.983
2023-04-04,2356.406
2023-04-05,2347.645
2023-04-06,2355.314
2023-04-10,2360.305
2023-04-11,2362.595
2023-04-12,2351.832
2023-04-13,2382.477
2023-04-14,2376.134
2023-04-17,2385.638
2023-04-18,2387.113
2023-04-19,2387.321
2023-04-20,2373.007
2023-04-21,2374.821
2023-04-24,2375.728
2023-04-25,2335.447
2023-04-26,2325.98
2023-04-27,2369.672
2023-04-28,2389.304
2023-05-01,2388.675
2023-05-02,2358.787
2023-05-03,2344.748
2023-05-04,2326.891
2023-05-05,2370.885
2023-05-08,2372.34
2023-05-09,2362.354
2023-05-10,2373.098
2023-05-11,2367.547
2023-05-12,2363.098
2023-05-15,2373.125
2023-05-16,2354.765
2023-05-17,2385.138
2023-05-18,2407.794
2023-05-19,2402.367
2023-05-22,2406.248
2023-05-23,2380.314
2023-05-24,2362.463
2023-05-25,2378.056
2023-05-26,2409.226
2023-05-30,2409.223
2023-05-31,2394.289
2023-06-01,2418.068
2023-06-02,2458.426
2023-06-05,2451.602
2023-06-06,2462.784
2023-06-07,2456.998
2023-06-08,2469.752
2023-06-09,2470.177
2023-06-12,2492.667
2023-06-13,2511.771
2023-06-14,2511.1
2023-06-15,2541.699
2023-06-16,2531.39
2023-06-20,2518.539
2023-06-21,2505.416
2023-06-22,2511.756
2023-06-23,2490.985
2023-06-26,2482.062
2023-06-27,2512.428
2023-06-28,2513.482
2023-06-29,2525.641
2023-06-30,2554.488
2023-07-03,2558.677
2023-07-05,2551.259
2023-07-06,2528.343
2023-07-07,2525.712
2023-07-10,2536.002
2023-07-11,2555.891
2023-07-12,2574.761
2023-07-13,2597.777
2023-07-14,2591.871
2023-07-17,2603.991
2023-07-18,2623.74
2023-07-19,2630.744
2023-07-20,2611.272
2023-07-21,2611.23
2023-07-24,2620.284
2023-07-25,2626.914
2023-07-26,2628.59
2023-07-27,2608.996
2023-07-28,2636.646
2023-07-31,2643.686
2023-08-01,2635.933
2023-08-02,2598.267
2023-08-03,2591.486
2023-08-04,2578.866
2023-08-07,2600.019
2023-08-08,2587.376
2023-08-09,2568.671
2023-08-10,2568.626
2023-08-11,2566.14
2023-08-14,2578.954
2023-08-15,2548.651
2023-08-16,2528.478
2023-08-17,2507.077
2023-08-18,2508.517
2023-08-21,2523.658
2023-08-22,2516.602
2023-08-23,2544.778
2023-08-24,2510.376
2023-08-25,2526.744
2023-08-28,2542.912
2023-08-29,2580.562
2023-08-30,2591.076
2023-08-31,2588.106
2023-09-01,2595.636
2023-09-05,2580.844
2023-09-06,2564.207
2023-09-07,2554.972
2023-09-08,2557.908
2023-09-11,2574.543
2023-09-12,2561.432
2023-09-13,2561.509
2023-09-14,2583.499
2023-09-15,2553.138
2023-09-18,2553.019
2023-09-19,2546.851
2023-09-20,2523.812
2023-09-21,2481.152
2023-09-22,2475.657
2023-09-25,2485.509
2023-09-26,2449.496
2023-09-27,2452.931
2023-09-28,2468.537
2023-09-29,2462.06
2023-10-02,2457.936
2023-10-03,2422.068
2023-10-04,2440.892
2023-10-05,2437.848
2023-10-06,2466.932
2023-10-09,2482.611
2023-10-10,2497.488
2023-10-11,2507.148
2023-10-12,2486.898
2023-10-13,2473.246
2023-10-16,2501.369
2023-10-17,2504.278
2023-10-18,2467.598
2023-10-19,2444.818
2023-10-20,2414.025
2023-10-23,2407.95
2023-10-24,2426.06
2023-10-25,2389.09
2023-10-26,2364.632
2023-10-27,2351.416
2023-10-30,2378.383
2023-10-31,2394.585
2023-11-01,2417.846
2023-11-02,2465.208
2023-11-03,2493.264
2023-11-06,2493.112
2023-11-07,2500.545
2023-11-08,2500.54
2023-11-09,2478.422
2023-11-10,2515.65
2023-11-13,2513.847
2023-11-14,2569.783
2023-11-15,2574.292
2023-11-16,2572.97
2023-11-17,2579.382
2023-11-20,2598.154
2023-11-21,2590.615
2023-11-22,2601.98
